Entry	Entry name	Length	Gene names  (ordered locus )	Gene ontology IDs	Cross-reference (InterPro)	Keywords	Keyword ID
P61889	MDH_ECOLI	312	b3236 JW3205	GO:0005737; GO:0005829; GO:0006096; GO:0006099; GO:0006108; GO:0006113; GO:0009061; GO:0016020; GO:0016491; GO:0016615; GO:0019898; GO:0030060	IPR001557;IPR022383;IPR001236;IPR015955;IPR001252;IPR010097;IPR023958;IPR036291;	3D-structure;Direct protein sequencing;NAD;Oxidoreductase;Reference proteome;Tricarboxylic acid cycle	KW-0002; KW-0520; KW-0560; KW-0816; KW-0903; KW-1185
P39285	MSCM_ECOLI	1107	b4159 JW4120	GO:0005886; GO:0006811; GO:0016021; GO:0055085	IPR010920;IPR006685;IPR011066;IPR006686;IPR011014;IPR023408;IPR025692;IPR024393;	Cell inner membrane;Cell membrane;Ion channel;Ion transport;Membrane;Reference proteome;Signal;Transmembrane;Transmembrane helix;Transport	KW-0406; KW-0407; KW-0472; KW-0732; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P54746	MNGB_ECOLI	877	b0732 JW0721	GO:0004559; GO:0006013; GO:0009313; GO:0030246; GO:0046872	IPR011013;IPR011330;IPR011682;IPR015341;IPR037094;IPR000602;IPR027291;IPR028995;	Glycosidase;Hydrolase;Metal-binding;Reference proteome	KW-0326; KW-0378; KW-0479; KW-1185
P54745	MNGA_ECOLI	658	b0731 JW0720	GO:0005351; GO:0005886; GO:0005887; GO:0009401; GO:0016301; GO:0022877; GO:0051476; GO:0090563; GO:0090581	IPR016152;IPR002178;IPR036095;IPR013011;IPR003501;IPR003352;IPR013014;IPR004715;IPR003353;IPR006327;	Cell inner membrane;Cell membrane;Kinase;Membrane;Phosphoprotein;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transmembrane;Transmembrane helix;Transport	KW-0418; KW-0472; KW-0597; KW-0598; KW-0762; KW-0808; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P32701	PDEC_ECOLI	528	b4061 JW4022	GO:0005886; GO:0016021; GO:0071111	IPR024744;IPR001633;IPR035919;	Cell inner membrane;Cell membrane;Hydrolase;Membrane;Reference proteome;Transmembrane;Transmembrane helix;c-di-GMP	KW-0378; KW-0472; KW-0812; KW-0973; KW-0997; KW-1003; KW-1133; KW-1185
P76346	MTFA_ECOLI	265	b1976 JW1958	GO:0004177; GO:0005829; GO:0008134; GO:0008237; GO:0043433; GO:0051090	IPR024079;IPR010384;IPR042252;	Cytoplasm;Reference proteome	KW-0963; KW-1185
P14900	MURD_ECOLI	438	b0088 JW0086	GO:0005524; GO:0005737; GO:0007049; GO:0008360; GO:0008764; GO:0009252; GO:0042802; GO:0051301; GO:0071555	IPR036565;IPR004101;IPR036615;IPR013221;IPR005762;	3D-structure;ATP-binding;Cell cycle;Cell division;Cell shape;Cell wall biogenesis/degradation;Cytoplasm;Direct protein sequencing;Ligase;Nucleotide-binding;Peptidoglycan synthesis;Reference proteome	KW-0002; KW-0067; KW-0131; KW-0132; KW-0133; KW-0436; KW-0547; KW-0573; KW-0903; KW-0961; KW-0963; KW-1185
P0AF18	NAGA_ECOLI	382	b0677 JW0663	GO:0005975; GO:0006046; GO:0008270; GO:0008448; GO:0019262; GO:0047419; GO:0051289	IPR006680;IPR003764;IPR011059;IPR032466;	3D-structure;Carbohydrate metabolism;Hydrolase;Metal-binding;Reference proteome;Zinc	KW-0002; KW-0119; KW-0378; KW-0479; KW-0862; KW-1185
P33594	NIKE_ECOLI	268	b3480 JW3445	GO:0005524; GO:0005886; GO:0006974; GO:0015413; GO:0016151; GO:0035444	IPR003593;IPR003439;IPR017871;IPR015858;IPR014137;IPR027417;	ATP-binding;Cell inner membrane;Cell membrane;Ion transport;Membrane;Nickel;Nickel transport;Nucleotide-binding;Reference proteome;Translocase;Transport	KW-0067; KW-0406; KW-0472; KW-0533; KW-0547; KW-0813; KW-0921; KW-0997; KW-1003; KW-1185; KW-1278
P0AFB8	NTRC_ECOLI	469	b3868 JW3839	GO:0000156; GO:0005524; GO:0005829; GO:0006355; GO:0006808; GO:0008134; GO:0009399; GO:0043565	IPR003593;IPR011006;IPR009057;IPR002197;IPR027417;IPR001789;IPR002078;IPR025662;IPR025943;IPR025944;IPR010114;	ATP-binding;Activator;Cytoplasm;DNA-binding;Nitrogen fixation;Nucleotide-binding;Phosphoprotein;Reference proteome;Repressor;Transcription;Transcription regulation;Two-component regulatory system	KW-0010; KW-0067; KW-0238; KW-0535; KW-0547; KW-0597; KW-0678; KW-0804; KW-0805; KW-0902; KW-0963; KW-1185
P31979	NUOF_ECOLI	445	b2284 JW2279	GO:0005886; GO:0008137; GO:0009060; GO:0010181; GO:0030964; GO:0045272; GO:0045333; GO:0046872; GO:0048038; GO:0051287; GO:0051539	IPR001949;IPR011537;IPR011538;IPR037225;IPR019575;IPR037207;IPR019554;	4Fe-4S;Direct protein sequencing;FMN;Flavoprotein;Iron;Iron-sulfur;Metal-binding;NAD;Quinone;Reference proteome;Translocase;Ubiquinone	KW-0004; KW-0285; KW-0288; KW-0408; KW-0411; KW-0479; KW-0520; KW-0830; KW-0874; KW-0903; KW-1185; KW-1278
P0AFG8	ODP1_ECOLI	887	b0114 JW0110	GO:0000287; GO:0004738; GO:0004739; GO:0005829; GO:0006096; GO:0016020; GO:0030976; GO:0042802; GO:0042803; GO:0045250	IPR035807;IPR004660;IPR041621;IPR029061;IPR009014;IPR005474;	3D-structure;Acetylation;Direct protein sequencing;Glycolysis;Magnesium;Metal-binding;Oxidoreductase;Pyruvate;Reference proteome;Thiamine pyrophosphate	KW-0002; KW-0007; KW-0324; KW-0460; KW-0479; KW-0560; KW-0670; KW-0786; KW-0903; KW-1185
P31057	PANB_ECOLI	264	b0134 JW0130	GO:0000287; GO:0003864; GO:0005737; GO:0005829; GO:0015940; GO:0016020; GO:0042802	IPR003700;IPR015813;IPR040442;	3D-structure;Cytoplasm;Direct protein sequencing;Magnesium;Metal-binding;Pantothenate biosynthesis;Reference proteome;Transferase	KW-0002; KW-0460; KW-0479; KW-0566; KW-0808; KW-0903; KW-0963; KW-1185
P36678	GSPM_ECOLI	153	b3334 JW5704	GO:0005886; GO:0015627; GO:0015628; GO:0016021	IPR007690;IPR023229;	Cell inner membrane;Cell membrane;Membrane;Protein transport;Reference proteome;Transmembrane;Transmembrane helix;Transport	KW-0472; KW-0653; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P0A6V5	GLPE_ECOLI	108	b3425 JW3388	GO:0004792; GO:0005737; GO:0006071	IPR001763;IPR036873;IPR023695;	3D-structure;Cytoplasm;Reference proteome;Transferase	KW-0002; KW-0808; KW-0963; KW-1185
P23893	GSA_ECOLI	426	b0154 JW0150	GO:0005829; GO:0006779; GO:0006782; GO:0008483; GO:0030170; GO:0033014; GO:0042286; GO:0042802	IPR004639;IPR005814;IPR015424;IPR015422;IPR015421;	Cytoplasm;Isomerase;Porphyrin biosynthesis;Pyridoxal phosphate;Reference proteome	KW-0413; KW-0627; KW-0663; KW-0963; KW-1185
P23331	KITH_ECOLI	205	b1238 JW1226	GO:0004797; GO:0005524; GO:0005829; GO:0008270; GO:0036198; GO:0042802; GO:0046104; GO:0071897	IPR027417;IPR001267;IPR020633;	ATP-binding;Allosteric enzyme;Cytoplasm;DNA synthesis;Kinase;Metal-binding;Nucleotide-binding;Reference proteome;Transferase;Zinc	KW-0021; KW-0067; KW-0237; KW-0418; KW-0479; KW-0547; KW-0808; KW-0862; KW-0963; KW-1185
P22731	LIVF_ECOLI	237	b3454 JW3419	GO:0005304; GO:0005524; GO:0015188; GO:0015658; GO:0015803; GO:0015807; GO:0015823; GO:0042626; GO:1903714; GO:1903785	IPR003593;IPR030660;IPR003439;IPR017871;IPR027417;	ATP-binding;Amino-acid transport;Nucleotide-binding;Reference proteome;Transport	KW-0029; KW-0067; KW-0547; KW-0813; KW-1185
P0ACL7	LLDR_ECOLI	258	b3604 JW3579	GO:0003700; GO:0006974; GO:0043565	IPR011711;IPR008920;IPR000524;IPR036388;IPR036390;	DNA-binding;Reference proteome;Transcription;Transcription regulation	KW-0238; KW-0804; KW-0805; KW-1185
P0AE72	MAZE_ECOLI	82	b2783 JW2754	GO:0003690; GO:0032991; GO:0042803; GO:0044877; GO:0097351	IPR007159;IPR037914;	3D-structure;DNA-binding;Reference proteome;Repressor;Toxin-antitoxin system;Transcription;Transcription regulation	KW-0002; KW-0238; KW-0678; KW-0804; KW-0805; KW-1185; KW-1277
P02921	MELB_ECOLI	473	b4120 JW4081	GO:0005886; GO:0005887; GO:0015487; GO:0015592; GO:0015765; GO:0015769; GO:0043887; GO:0071702	IPR039672;IPR036259;IPR001927;IPR018043;	Cell inner membrane;Cell membrane;Direct protein sequencing;Membrane;Reference proteome;Sugar transport;Symport;Transmembrane;Transmembrane helix;Transport	KW-0472; KW-0762; KW-0769; KW-0812; KW-0813; KW-0903; KW-0997; KW-1003; KW-1133; KW-1185
P30749	MOAE_ECOLI	150	b0785 JW0768	GO:0005829; GO:0006777; GO:0030366	IPR036563;IPR003448;	3D-structure;Direct protein sequencing;Isopeptide bond;Molybdenum cofactor biosynthesis;Reference proteome;Transferase	KW-0002; KW-0501; KW-0808; KW-0903; KW-1017; KW-1185
P32173	MOBA_ECOLI	194	b3857 JW3829	GO:0000287; GO:0005525; GO:0005737; GO:0016779; GO:0061603; GO:1902758	IPR025877;IPR013482;IPR029044;	3D-structure;Cytoplasm;Direct protein sequencing;GTP-binding;Magnesium;Manganese;Metal-binding;Molybdenum cofactor biosynthesis;Nucleotide-binding;Reference proteome;Transferase	KW-0002; KW-0342; KW-0460; KW-0464; KW-0479; KW-0501; KW-0547; KW-0808; KW-0903; KW-0963; KW-1185
P24202	MRR_ECOLI	304	b4351 JW4314	GO:0003677; GO:0009307; GO:0015666; GO:0032067; GO:0043590; GO:0051599	IPR025745;IPR011335;IPR007560;	Direct protein sequencing;Reference proteome;Restriction system	KW-0680; KW-0903; KW-1185
P45425	NANK_ECOLI	291	b3222 JW5538	GO:0005524; GO:0006051; GO:0006974; GO:0008270; GO:0009384; GO:0019262	IPR043129;IPR023945;IPR000600;	3D-structure;ATP-binding;Carbohydrate metabolism;Kinase;Metal-binding;Nucleotide-binding;Reference proteome;Transferase;Zinc	KW-0002; KW-0067; KW-0119; KW-0418; KW-0479; KW-0547; KW-0808; KW-0862; KW-1185
P0AAL3	NAPG_ECOLI	231	b2205 JW2193	GO:0005886; GO:0042597; GO:0046872; GO:0051539	IPR017896;IPR017900;IPR004494;IPR006311;	4Fe-4S;Electron transport;Iron;Iron-sulfur;Metal-binding;Periplasm;Reference proteome;Repeat;Signal;Transport	KW-0004; KW-0249; KW-0408; KW-0411; KW-0479; KW-0574; KW-0677; KW-0732; KW-0813; KW-1185
P0AAL0	NAPF_ECOLI	164	b2208 JW2196	GO:0005737; GO:0006979; GO:0046872; GO:0051539	IPR017896;IPR017900;IPR004496;	4Fe-4S;Cytoplasm;Direct protein sequencing;Iron;Iron-sulfur;Metal-binding;Reference proteome;Repeat	KW-0004; KW-0408; KW-0411; KW-0479; KW-0677; KW-0903; KW-0963; KW-1185
P06722	MUTH_ECOLI	229	b2831 JW2799	GO:0000018; GO:0003677; GO:0004519; GO:0005737; GO:0006298; GO:0006304; GO:0032300; GO:0043765	IPR004230;IPR011337;IPR037057;IPR011335;	3D-structure;Cytoplasm;DNA damage;DNA repair;Direct protein sequencing;Endonuclease;Hydrolase;Nuclease;Reference proteome	KW-0002; KW-0227; KW-0234; KW-0255; KW-0378; KW-0540; KW-0903; KW-0963; KW-1185
P76007	NHAP2_ECOLI	578	b1191 JW5184	GO:0005886; GO:0005887; GO:0006884; GO:0015386; GO:0050660	IPR006153;IPR036318;IPR016169;IPR030151;IPR023729;IPR006037;IPR036721;IPR005170;	Antiport;Cell inner membrane;Cell membrane;Ion transport;Membrane;Potassium;Potassium transport;Reference proteome;Transmembrane;Transmembrane helix;Transport	KW-0050; KW-0406; KW-0472; KW-0630; KW-0633; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P23898	NLPC_ECOLI	154	b1708 JW1698	GO:0005886; GO:0008234	IPR000064;IPR038765;	Cell membrane;Hydrolase;Lipoprotein;Membrane;Palmitate;Protease;Reference proteome;Signal;Thiol protease	KW-0378; KW-0449; KW-0472; KW-0564; KW-0645; KW-0732; KW-0788; KW-1003; KW-1185
P03014	PINE_ECOLI	184	b1158 JW1144	GO:0000150; GO:0003677; GO:0006310; GO:0015074; GO:0016787; GO:0016874	IPR009057;IPR006118;IPR006119;IPR036162;IPR006120;	DNA integration;DNA invertase;DNA recombination;DNA-binding;Hydrolase;Ligase;Reference proteome	KW-0229; KW-0230; KW-0233; KW-0238; KW-0378; KW-0436; KW-1185
P76611	PINH_ECOLI	47	b2648 JW5423	GO:0000150; GO:0003677; GO:0015074	IPR006119;	DNA integration;DNA invertase;DNA recombination;DNA-binding;Reference proteome	KW-0229; KW-0230; KW-0233; KW-0238; KW-1185
P0A8G6	NQOR_ECOLI	198	b1004 JW0989	GO:0003955; GO:0005829; GO:0006979; GO:0008753; GO:0010181; GO:0016020; GO:0032991; GO:0042802; GO:0050136; GO:0050660; GO:0050661; GO:0051287	IPR008254;IPR029039;IPR010089;IPR005025;IPR037513;	3D-structure;Acetylation;Direct protein sequencing;FMN;Flavoprotein;NAD;Nucleotide-binding;Oxidoreductase;Reference proteome	KW-0002; KW-0007; KW-0285; KW-0288; KW-0520; KW-0547; KW-0560; KW-0903; KW-1185
P0AFJ7	PITA_ECOLI	499	b3493 JW3460	GO:0005315; GO:0005385; GO:0005886; GO:0005887; GO:0010960; GO:0015295; GO:0015654; GO:0015710; GO:0035435	IPR001204;	Cell inner membrane;Cell membrane;Membrane;Phosphate transport;Reference proteome;Transmembrane;Transmembrane helix;Transport	KW-0472; KW-0592; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P43676	PITB_ECOLI	499	b2987 JW2955	GO:0005315; GO:0005886; GO:0005887; GO:0016021; GO:0035435	IPR001204;	Cell inner membrane;Cell membrane;Membrane;Phosphate transport;Reference proteome;Transmembrane;Transmembrane helix;Transport	KW-0472; KW-0592; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P07000	PLDB_ECOLI	340	b3825 JW5584	GO:0004622; GO:0005886; GO:0006629; GO:0016020; GO:0016298; GO:0016747; GO:0102545	IPR029058;IPR022742;	Cell inner membrane;Cell membrane;Hydrolase;Lipid biosynthesis;Lipid metabolism;Membrane;Reference proteome	KW-0378; KW-0443; KW-0444; KW-0472; KW-0997; KW-1003; KW-1185
P0ABC7	HFLK_ECOLI	419	b4174 JW4132	GO:0005829; GO:0009408; GO:0043086; GO:0071575; GO:0098796	IPR001107;IPR036013;IPR010201;IPR020980;IPR001972;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Signal-anchor;Transmembrane;Transmembrane helix	KW-0472; KW-0735; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185
P60664	HIS6_ECOLI	258	b2025 JW2007	GO:0000105; GO:0000107; GO:0005829; GO:0009382; GO:0016829	IPR013785;IPR006062;IPR004651;IPR011060;	Amino-acid biosynthesis;Cytoplasm;Direct protein sequencing;Histidine biosynthesis;Lyase;Reference proteome	KW-0028; KW-0368; KW-0456; KW-0903; KW-0963; KW-1185
P25666	HTRL_ECOLI	285	b3618 JW5644		IPR011735;	Reference proteome	KW-1185
P08142	ILVB_ECOLI	562	b3671 JW3646	GO:0000287; GO:0003984; GO:0005948; GO:0009097; GO:0009099; GO:0030976; GO:0050660	IPR012846;IPR039368;IPR029035;IPR029061;IPR012000;IPR012001;IPR000399;IPR011766;	3D-structure;Amino-acid biosynthesis;Branched-chain amino acid biosynthesis;FAD;Flavoprotein;Magnesium;Metal-binding;Reference proteome;Thiamine pyrophosphate;Transferase	KW-0002; KW-0028; KW-0100; KW-0274; KW-0285; KW-0460; KW-0479; KW-0786; KW-0808; KW-1185
A0A385XJE6	INH21_ECOLI	326	b4711	GO:0003677; GO:0004803; GO:0006313	IPR002559;IPR008490;	DNA recombination;DNA-binding;Reference proteome;Transposable element;Transposition	KW-0233; KW-0238; KW-0814; KW-0815; KW-1185
P76542	INTZ_ECOLI	402	b2442	GO:0003677; GO:0006310; GO:0015074; GO:0044826; GO:0046718; GO:0075713	IPR044068;IPR011010;IPR013762;IPR002104;IPR038488;IPR025166;IPR010998;	DNA integration;DNA recombination;DNA-binding;Reference proteome;Viral genome integration;Virus entry into host cell	KW-0229; KW-0233; KW-0238; KW-1160; KW-1179; KW-1185
P0ADF8	ILVN_ECOLI	96	b3670 JW3645	GO:0003984; GO:0005948; GO:0009097; GO:0009099; GO:1990610	IPR004789;IPR002912;IPR039557;	3D-structure;Amino-acid biosynthesis;Branched-chain amino acid biosynthesis;Reference proteome;Transferase	KW-0002; KW-0028; KW-0100; KW-0808; KW-1185
P0CE52	INSH4_ECOLI	326	b1331 JW1324	GO:0003677; GO:0004803; GO:0006313	IPR002559;IPR008490;	DNA recombination;DNA-binding;Reference proteome;Transposable element;Transposition	KW-0233; KW-0238; KW-0814; KW-0815; KW-1185
P0CF82	INSF4_ECOLI	288	b1026 JW1012	GO:0003677; GO:0006310; GO:0015074; GO:0032196	IPR025948;IPR038965;IPR001584;IPR012337;IPR036397;	DNA recombination;DNA-binding;Reference proteome;Transposable element;Transposition	KW-0233; KW-0238; KW-0814; KW-0815; KW-1185
P28306	MLTG_ECOLI	340	b1097 JW1083	GO:0000270; GO:0005886; GO:0005887; GO:0008932; GO:0008933; GO:0009252; GO:0016829; GO:0030288; GO:0071555	IPR003770;	3D-structure;Cell inner membrane;Cell membrane;Cell wall biogenesis/degradation;Lyase;Membrane;Reference proteome;Transmembrane;Transmembrane helix	KW-0002; KW-0456; KW-0472; KW-0812; KW-0961; KW-0997; KW-1003; KW-1133; KW-1185
P37773	MPL_ECOLI	457	b4233 JW4192	GO:0005524; GO:0005576; GO:0005737; GO:0007049; GO:0008360; GO:0009252; GO:0009254; GO:0016881; GO:0042802; GO:0051301; GO:0071555	IPR005757;IPR036565;IPR004101;IPR036615;IPR013221;IPR000713;	ATP-binding;Cell cycle;Cell division;Cell shape;Cell wall biogenesis/degradation;Ligase;Magnesium;Nucleotide-binding;Peptidoglycan synthesis;Reference proteome;Secreted	KW-0067; KW-0131; KW-0132; KW-0133; KW-0436; KW-0460; KW-0547; KW-0573; KW-0961; KW-0964; KW-1185
P77348	MPPA_ECOLI	537	b1329 JW1322	GO:0015031; GO:0015833; GO:0030288; GO:0042597; GO:0042939; GO:0043190; GO:1900750; GO:1904680	IPR030678;IPR039424;IPR023765;IPR000914;	3D-structure;Direct protein sequencing;Peptide transport;Periplasm;Protein transport;Reference proteome;Signal;Transport	KW-0002; KW-0571; KW-0574; KW-0653; KW-0732; KW-0813; KW-0903; KW-1185
Q46810	MOCA_ECOLI	192	b2877 JW2845	GO:0000166; GO:0000287; GO:0006777; GO:0061602; GO:1902760	IPR017696;IPR025877;IPR029044;	Magnesium;Manganese;Metal-binding;Molybdenum cofactor biosynthesis;Nucleotide-binding;Reference proteome;Transferase	KW-0460; KW-0464; KW-0479; KW-0501; KW-0547; KW-0808; KW-1185
P10903	NARK_ECOLI	463	b1223 JW1214	GO:0005452; GO:0005886; GO:0005887; GO:0015112; GO:0015514; GO:0015706; GO:0015707; GO:0042128	IPR011701;IPR036259;IPR004737;	3D-structure;Cell inner membrane;Cell membrane;Membrane;Nitrate assimilation;Reference proteome;Transmembrane;Transmembrane helix;Transport	KW-0002; KW-0472; KW-0534; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P0ABL5	NAPC_ECOLI	200	b2202 JW2190	GO:0005886; GO:0009055; GO:0009061; GO:0016021; GO:0019333; GO:0020037; GO:0046872	IPR011031;IPR036280;IPR024717;IPR005126;IPR038266;IPR011885;	Cell inner membrane;Cell membrane;Electron transport;Heme;Iron;Membrane;Metal-binding;Reference proteome;Transmembrane;Transmembrane helix;Transport	KW-0249; KW-0349; KW-0408; KW-0472; KW-0479; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P0ADL1	NEPI_ECOLI	396	b3662 JW5938	GO:0005886; GO:0015211; GO:0015860; GO:0016021	IPR011701;IPR020846;IPR023680;IPR036259;	Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix;Transport	KW-0472; KW-0812; KW-0813; KW-0997; KW-1003; KW-1133; KW-1185
P0A6X3	HFQ_ECOLI	102	b4172 JW4130	GO:0003681; GO:0003723; GO:0005829; GO:0006355; GO:0040033; GO:0043487; GO:0045974; GO:0045975	IPR005001;IPR010920;	3D-structure;DNA-binding;Direct protein sequencing;RNA-binding;Reference proteome;Stress response	KW-0002; KW-0238; KW-0346; KW-0694; KW-0903; KW-1185
P19931	HYAE_ECOLI	132	b0976 JW0958	GO:0005048	IPR010893;IPR036249;	3D-structure;Reference proteome	KW-0002; KW-1185
P77668	HYFI_ECOLI	252	b2489 JW5805	GO:0008137; GO:0046872; GO:0048038; GO:0051539	IPR006137;IPR006138;	4Fe-4S;Iron;Iron-sulfur;Metal-binding;Oxidoreductase;Reference proteome	KW-0004; KW-0408; KW-0411; KW-0479; KW-0560; KW-1185
P0AAP5	IPRA_ECOLI	207	b0375 JW0366	GO:0006979	IPR018490;IPR041687;IPR034719;	Reference proteome;Stress response	KW-0346; KW-1185
P24218	INTD_ECOLI	387	b0537 JW0525	GO:0003677; GO:0005829; GO:0008979; GO:0044826; GO:0046718	IPR044068;IPR011010;IPR013762;IPR002104;IPR010998;	DNA integration;DNA recombination;DNA-binding;Reference proteome;Viral genome integration;Virus entry into host cell	KW-0229; KW-0233; KW-0238; KW-1160; KW-1179; KW-1185
P0CF27	INSB3_ECOLI	167	b0274 JW0268	GO:0003677; GO:0004803; GO:0006313	IPR005063;	DNA recombination;Reference proteome;Transposable element;Transposition	KW-0233; KW-0814; KW-0815; KW-1185
P0CE51	INSH3_ECOLI	326	b0656 JW0652	GO:0003677; GO:0004803; GO:0006313	IPR002559;IPR008490;	DNA recombination;DNA-binding;Reference proteome;Transposable element;Transposition	KW-0233; KW-0238; KW-0814; KW-0815; KW-1185
P0CF66	INSE1_ECOLI	99	b0298 JW5036	GO:0003677; GO:0004803; GO:0006313	IPR009057;IPR002514;	DNA recombination;DNA-binding;Reference proteome;Transposable element;Transposition	KW-0233; KW-0238; KW-0814; KW-0815; KW-1185
A0A385XJ53	INSA9_ECOLI	91	b4709	GO:0006313	IPR024431;IPR003220;	DNA recombination;Reference proteome;Transposable element;Transposition	KW-0233; KW-0814; KW-0815; KW-1185
P0CF67	INSE2_ECOLI	99	b0373 JW5050	GO:0003677; GO:0004803; GO:0006313	IPR009057;IPR002514;	DNA recombination;DNA-binding;Reference proteome;Transposable element;Transposition	KW-0233; KW-0238; KW-0814; KW-0815; KW-1185
P0CE53	INSH6_ECOLI	326	b1994 JW1972	GO:0003677; GO:0004803; GO:0006313	IPR002559;IPR008490;	DNA recombination;DNA-binding;Reference proteome;Transposable element;Transposition	KW-0233; KW-0238; KW-0814; KW-0815; KW-1185
P0CF25	INSB1_ECOLI	167	b0021 JW0020	GO:0003677; GO:0004803; GO:0006313	IPR005063;	DNA recombination;Reference proteome;Transposable element;Transposition	KW-0233; KW-0814; KW-0815; KW-1185
P03835	INSG_ECOLI	442	b4278 JW5767	GO:0003677; GO:0004803; GO:0006313	IPR012337;IPR002559;IPR024473;	DNA recombination;DNA-binding;Reference proteome;Transposable element;Transposition	KW-0233; KW-0238; KW-0814; KW-0815; KW-1185
P0CE50	INSH2_ECOLI	326	b0552 JW0540	GO:0003677; GO:0004803; GO:0006313	IPR002559;IPR008490;	DNA recombination;DNA-binding;Reference proteome;Transposable element;Transposition	KW-0233; KW-0238; KW-0814; KW-0815; KW-1185
P21599	KPYK2_ECOLI	480	b1854 JW1843	GO:0000287; GO:0004743; GO:0005524; GO:0005737; GO:0005829; GO:0006096; GO:0016301; GO:0030955; GO:0042802; GO:1902912	IPR001697;IPR015813;IPR040442;IPR011037;IPR018209;IPR015793;IPR015795;IPR036918;IPR015806;	3D-structure;ATP-binding;Acetylation;Allosteric enzyme;Direct protein sequencing;Glycolysis;Kinase;Magnesium;Metal-binding;Nucleotide-binding;Potassium;Pyruvate;Reference proteome;Transferase	KW-0002; KW-0007; KW-0021; KW-0067; KW-0324; KW-0418; KW-0460; KW-0479; KW-0547; KW-0630; KW-0670; KW-0808; KW-0903; KW-1185
P0AFB5	NTRB_ECOLI	349	b3869 JW3840	GO:0000155; GO:0004721; GO:0005524; GO:0005737; GO:0006355; GO:0007165; GO:0009399; GO:0042802; GO:0046777; GO:0051171	IPR003594;IPR036890;IPR005467;IPR003661;IPR036097;IPR000014;IPR035965;IPR013767;IPR004358;	3D-structure;ATP-binding;Cytoplasm;Hydrolase;Kinase;Nitrogen fixation;Nucleotide-binding;Phosphoprotein;Reference proteome;Transferase;Two-component regulatory system	KW-0002; KW-0067; KW-0378; KW-0418; KW-0535; KW-0547; KW-0597; KW-0808; KW-0902; KW-0963; KW-1185
P0A772	NRDI_ECOLI	136	b2674 JW2649	GO:0006464; GO:0010181	IPR029039;IPR020852;IPR004465;	3D-structure;Reference proteome	KW-0002; KW-1185
P45799	NUDE_ECOLI	186	b3397 JW3360	GO:0000287; GO:0005829; GO:0006753; GO:0019144; GO:0019693; GO:0047631	IPR015797;IPR020084;IPR000086;	3D-structure;Hydrolase;Magnesium;Metal-binding;Reference proteome	KW-0002; KW-0378; KW-0460; KW-0479; KW-1185
P75920	OPGC_ECOLI	385	b1047 JW1034	GO:0005886; GO:0009250; GO:0009311; GO:0016021; GO:0016741; GO:0016748	IPR002656;IPR023723;	Acyltransferase;Cell membrane;Membrane;Reference proteome;Transferase;Transmembrane;Transmembrane helix	KW-0012; KW-0472; KW-0808; KW-0812; KW-1003; KW-1133; KW-1185
P0AFG6	ODO2_ECOLI	405	b0727 JW0716	GO:0004149; GO:0005829; GO:0006099; GO:0031405; GO:0033512; GO:0045252	IPR003016;IPR001078;IPR000089;IPR023213;IPR036625;IPR004167;IPR011053;IPR006255;	3D-structure;Acetylation;Acyltransferase;Direct protein sequencing;Lipoyl;Reference proteome;Transferase;Tricarboxylic acid cycle	KW-0002; KW-0007; KW-0012; KW-0450; KW-0808; KW-0816; KW-0903; KW-1185
P0AEH5	ELAB_ECOLI	101	b2266 JW2261	GO:0005829; GO:0005887; GO:0006974; GO:0043022	IPR043605;IPR043604;IPR010279;	Acetylation;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Transmembrane;Transmembrane helix	KW-0007; KW-0472; KW-0812; KW-0997; KW-1003; KW-1133; KW-1185
P25552	GPPA_ECOLI	494	b3779 JW5603	GO:0006793; GO:0008894; GO:0015949; GO:0015970; GO:0015974; GO:0016462; GO:0042594	IPR043129;IPR023709;IPR003695;IPR030673;	3D-structure;Hydrolase;Reference proteome	KW-0002; KW-0378; KW-1185
P0AEQ3	GLNH_ECOLI	248	b0811 JW0796	GO:0006865; GO:0015276; GO:0016020; GO:0030288	IPR001320;IPR044132;IPR018313;IPR001638;	3D-structure;Amino-acid transport;Direct protein sequencing;Periplasm;Reference proteome;Signal;Transport	KW-0002; KW-0029; KW-0574; KW-0732; KW-0813; KW-0903; KW-1185
